AT1G08910.1	A0A0A7EPL0-2
AT5G02200.1	A8MR65-2
AT5G02200.2	A8MR65-1
AT1G02145.1	A8MR93-5
AT1G02145.2	A8MR93-2
AT1G02145.3	A8MR93-1
AT1G02145.4	A8MR93-6
AT1G80810.2	A8MRD9-2
AT1G80810.3	A8MRD9-1
AT1G80810.4	A8MRD9-2
AT1G12140.1	A8MRX0-1
AT1G12140.2	A8MRX0-2
AT1G12140.3	A8MRX0-1
AT1G31500.1	A8MS41-2
AT1G31500.2	A8MS41-3
AT1G31500.3	A8MS41-5
AT1G31500.4	A8MS41-1
AT1G31500.5	A8MS41-6
AT3G16950.1	A8MS68-2
AT3G16950.2	A8MS68-1
AT1G65440.1	A8MS85-1
AT1G65440.4	A8MS85-1
AT3G21630.1	A8R7E6
AT3G51310.1	A8R7K9
AT5G35910.1	A9LLI7
AT1G30460.1	A9LNK9-1
AT5G19400.1	A9QM73
AT5G19400.2	A9QM73
AT5G19400.3	A9QM73
AT5G57590.1	B0F481-1
AT1G78770.1	B3DNN5
AT4G26466.1	B3GS44
AT1G52150.2	B3H4G8
AT1G65484.1	B3H4Y2
AT5G66816.1	B3H5A9
AT5G51451.1	B3H5J1
AT5G05970.1	B3H5K9-2
AT5G05970.2	B3H5K9-1
AT3G02242.1	B3H5Q2
AT2G38220.1	B3H754-1
AT2G38220.2	B3H754-2
AT5G44585.1	B3H7I1
AT4G05520.1	B3LF48-1
AT4G05520.2	B3LF48-2
AT3G54280.1	B5BT18-1
At2g06210	B5X0I6
AT2G16750.1	B5X4Z9-1
AT2G16750.2	B5X4Z9-1
AT1G30680.1	B5X582
AT1G44910.1	B6EUA9-1
AT1G44910.2	B6EUA9-2
AT5G47690.1	B6EUB3-1
AT5G47690.3	B6EUB3-2
AT5G13060.1	B7U179
AT5G21990.1	B7ZWR6
AT1G74720.1	B8XCH5
AT3G06500.1	B9DFA8
AT1G70070.1	B9DFG3
AT3G59350.1	B9DFG5-1
AT3G59350.2	B9DFG5-2
AT3G59350.3	B9DFG5-1
AT2G37860.1	B9DFK5-2
AT2G37860.2	B9DFK5-2
AT2G37860.3	B9DFK5-1
AT2G37860.4	B9DFK5-1
AT5G07120.1	B9DFS6
AT5G07120.2	B9DFS6
AT2G26170.1	B9DFU2-1
AT2G26170.2	B9DFU2-2
AT5G21930.1	B9DFX7-1
AT5G21930.2	B9DFX7-1
AT1G05900.1	B9DFZ0-2
AT1G05900.2	B9DFZ0-1
AT5G36880.1	B9DGD6-2
AT5G36880.2	B9DGD6-1
AT5G36880.3	B9DGD6-2
AT5G36880.5	B9DGD6-2
AT5G36880.6	B9DGD6-2
AT5G28770.1	B9DGI8-2
AT5G28770.2	B9DGI8-1
AT5G28770.3	B9DGI8-3
AT1G04820.1	B9DGT7
AT1G50010.1	B9DGT7
AT1G02880.1	B9DGU7-3
AT1G02880.2	B9DGU7-2
AT1G02880.3	B9DGU7-1
AT1G02880.5	B9DGU7-3
AT3G07700.1	B9DGY1
AT3G07700.2	B9DGY1
AT3G07700.4	B9DGY1
AT5G19770.1	B9DHQ0
AT5G19780.1	B9DHQ0
AT5G19330.1	B9DHT4-1
AT3G56700.1	B9TSP7-2
AT3G56700.2	B9TSP7-1
AT1G07650.1	C0LGE0-1
AT1G31420.2	C0LGF4-1
AT1G34110.1	C0LGF5
AT1G51890.1	C0LGG6-1
AT1G53430.1	C0LGG8-1
AT1G63430.1	C0LGH8-1
AT1G63430.3	C0LGH8-1
AT1G69990.1	C0LGI5
AT1G74360.1	C0LGJ1
AT2G02780.1	C0LGJ9
AT2G28960.2	C0LGL4
AT2G35620.1	C0LGL9
AT2G35620.2	C0LGL9
AT2G35620.3	C0LGL9
AT2G35620.4	C0LGL9
AT3G14840.1	C0LGN2-2
AT3G14840.2	C0LGN2-1
AT3G46330.1	C0LGP2
At3g56100	C0LGP9
AT4G18640.1	C0LGQ4
AT4G20140.1	C0LGQ5
At4g20940	C0LGQ9
At4g20940	C0LGQ9
AT4G26540.1	C0LGR3
AT4G29180.2	C0LGR6-1
AT4G31250.1	C0LGR9-1
AT4G36180.1	C0LGS2
AT4G37250.1	C0LGS3
AT5G10290.1	C0LGT1
AT5G10290.2	C0LGT1
AT5G20480.1	C0LGT6
AT5G20480.2	C0LGT6
AT5G35390.1	C0LGU0
AT5G45780.1	C0LGU5
At5g45840	C0LGU7
At5g45840	C0LGU7
AT5G48940.1	C0LGV1
AT5G59650.1	C0LGW2
AT5G62230.1	C0LGW6-1
AT5G65710.1	C0LGX3
AT4G04780.1	C0LU16
AT1G08620.1	C0SUT9
AT1G08620.2	C0SUT9
AT1G08620.4	C0SUT9
AT1G75390.1	C0Z2L5-1
AT2G22140.1	C5H8J1
AXX17_At1g32710	C5I9W9
AXX17_At1g32710	C5I9W9
AT4G34390.1	C6KIE6
AT5G45610.1	C8KI33-1
AT5G45610.2	C8KI33-2
AT4G25120.1	D1KF50-1
AT3G20440.1	D2WL32-2
AT3G20440.2	D2WL32-1
AT3G20440.3	D2WL32-3
AT1G66980.1	D7SFH9-1
AT5G06839.1	E3VNM4-2
AT5G06839.3	E3VNM4-1
AT2G42160.1	E5KGE0-1
AT4G21534.1	F2Y4A3
AT4G21534.2	F2Y4A3
AT1G19350.3	F4HP45
AT1G53140.1	F4HPR5
AT1G66730.1	F4HPZ9
AT1G73430.1	F4HQ84
AT1G73430.2	F4HQ84
AT1G79730.1	F4HQA1
AT1G79950.1	F4HQE2
AT1G01040.2	F4HQG6
AT1G07380.1	F4HQM3-1
AT1G53490.1	F4HRI2
AT1G53570.1	F4HRJ4-1
AT1G53570.2	F4HRJ4-3
AT1G53570.3	F4HRJ4-3
AT1G53570.4	F4HRJ4-2
AT1G53570.5	F4HRJ4-4
AT1G67230.1	F4HRT5
AT1G67370.1	F4HRV8
AT1G01320.1	F4HS99
AT1G47370.1	F4HT77
AT1G61210.1	F4HTH8-1
AT1G61210.2	F4HTH8-2
AT1G61210.3	F4HTH8-3
AT1G67490.1	F4HTM3-1
AT1G67490.2	F4HTM3-2
AT1G01710.1	F4HU51
AT1G01740.1	F4HU55
AT1G01740.2	F4HU55
AT1G01760.1	F4HU58
AT1G01760.4	F4HU58
At1g54360	F4HVA6
AT1G67840.1	F4HVG8-1
AT1G67840.2	F4HVG8-2
AT1G67960.1	F4HVJ3
AT1G74770.1	F4HVS0-1
AT1G02120.1	F4HVW5
AT1G02205.1	F4HVY0-3
AT1G02205.2	F4HVY0-1
AT1G02205.3	F4HVY0-2
AT1G08260.1	F4HW04
AT1G08600.1	F4HW51-2
AT1G08600.2	F4HW51-1
AT1G08600.3	F4HW51-1
AT1G08600.4	F4HW51-1
AT1G54560.1	F4HWY6
At1g61850	F4HX15
AT1G02660.1	F4HXL0
AT1G08730.1	F4HXP9
AT1G14760.1	F4HXU3-1
AT1G14760.2	F4HXU3-2
AT1G14760.3	F4HXU3-3
AT1G15110.1	F4HXY7-1
AT1G15110.3	F4HXY7-1
AT1G15110.4	F4HXY7-1
AT1G15130.1	F4HXZ1
AT1G28420.1	F4HY56
AT1G48420.1	F4HYF3-1
AT1G48420.2	F4HYF3-1
AT1G48420.3	F4HYF3-1
AT1G03060.1	F4HZB2
AT1G09060.1	F4HZD1-2
AT1G09060.2	F4HZD1-2
AT1G09060.3	F4HZD1-1
AT1G09060.4	F4HZD1-1
AT1G09300.1	F4HZG9-1
AT1G09300.2	F4HZG9-2
AT1G55325.1	F4I096-1
AT1G55325.2	F4I096-2
AT1G69200.1	F4I0K2
AT1G15780.1	F4I171
AT1G49540.1	F4I1S7-1
AT1G55540.1	F4I1T7-2
AT1G55540.2	F4I1T7-1
AT1G63490.1	F4I240
AT1G03780.1	F4I2H7-3
AT1G03780.2	F4I2H7-2
AT1G03780.3	F4I2H7-1
AT1G09970.1	F4I2N7-2
AT1G09970.2	F4I2N7-1
AT1G22870.1	F4I313
AT1G22882.1	F4I316
AT1G63680.1	F4I3P9
AT1G63680.2	F4I3P9
AT1G63680.3	F4I3P9
AT1G69935.1	F4I3V6-1
At1g04020	F4I443
At1g04020	F4I443
At1g04020	F4I443
AT1G04160.1	F4I460
AT1G16440.1	F4I4F2
AT1G56590.1	F4I562
AT1G04450.1	F4I5N6
AT1G10670.3	F4I5V8
AT1G30810.1	F4I6G4
AT1G30810.2	F4I6G4
AT1G30810.3	F4I6G4
AT1G50840.1	F4I6M1
AT1G77460.1	F4I718
AT1G77460.2	F4I718
AT1G77460.3	F4I718
AT1G77460.4	F4I718
AT1G77600.2	F4I735
AT1G10940.2	F4I7B6
AT1G11060.1	F4I7C7
AT1G17290.1	F4I7I0
AT1G50990.1	F4I7Y4
AT1G71360.1	F4I8I0-1
AT1G17610.1	F4I902
AT1G17610.2	F4I902
AT1G17650.1	F4I907
AT1G24460.2	F4I9A2
AT1G42430.1	F4I9G2
AT1G51510.1	F4I9J7
AT1G11720.1	F4IAG2-1
AT1G24706.2	F4IAT2-1
AT1G31690.1	F4IAX0
AT1G31710.1	F4IAX1-1
AT1G51940.1	F4IB81
AT1G18670.1	F4ICB6-1
AT1G18670.2	F4ICB6-2
AT1G25290.1	F4ICF4-1
AT1G25290.2	F4ICF4-2
AT1G32130.1	F4ICK8-1
AT1G52410.1	F4ICX9-2
AT1G52410.2	F4ICX9-1
AT1G72390.1	F4IDB2
AT1G72390.2	F4IDB2
AT1G72440.1	F4IDC2
AT1G79110.1	F4IDI6-1
AT1G79110.2	F4IDI6-2
AT1G06670.1	F4IDQ6
AT1G12470.1	F4IDS7
AT1G12640.1	F4IDU4
AT1G12790.1	F4IDW9
AT1G18910.1	F4IDY5
AT1G26370.1	F4IE66
AT1G32870.1	F4IED2-1
AT1G52920.1	F4IEM5
AT1G79350.1	F4IF36
AT2G20990.3	F4IFM6
AT2G27120.1	F4IFN6
AT2G40130.2	F4IGZ2-1
AT2G40360.1	F4IH25
AT2G40410.2	F4IH31-1
AT2G28290.1	F4IHS2-1
AT2G28290.2	F4IHS2-3
AT2G28290.3	F4IHS2-2
AT2G28290.4	F4IHS2-2
AT2G28315.1	F4IHS9
AT2G34640.1	F4IHY7
AT2G46370.4	F4II77
AT2G22125.1	F4IIM1
AT2G28620.1	F4IIS5
AT2G34680.1	F4IIU4
AT2G17250.1	F4IMH3
AT2G42380.1	F4IN23-2
AT2G42380.2	F4IN23-1
AT2G48110.1	F4IN69
AT2G01940.1	F4IPE3-1
AT2G01940.2	F4IPE3-2
AT2G01940.3	F4IPE3-3
AT2G18000.1	F4IPK2-2
AT2G18000.2	F4IPK2-1
AT2G31170.1	F4IPY2-1
AT2G31530.1	F4IQV7
AT2G02820.1	F4IRB4-2
AT2G02820.2	F4IRB4-1
AT2G31660.1	F4IRR2
AT2G43710.2	F4IS32
AT2G43850.1	F4IS56-1
AT2G43850.2	F4IS56-2
AT2G03150.1	F4IS91-1
AT2G25660.1	F4ISL7
AT2G25660.4	F4ISL7
AT2G38195.1	F4ISV9-1
AT2G38195.2	F4ISV9-2
AT2G26070.1	F4ITL6
AT2G26130.1	F4ITM1
AT2G39260.1	F4IUX6
AT2G44750.1	F4IV16-2
AT2G44750.2	F4IV16-1
AT2G04270.1	F4IV66-2
AT2G04270.2	F4IV66-3
AT2G04270.3	F4IV66-5
AT2G04270.4	F4IV66-4
AT2G04270.5	F4IV66-1
AT2G04270.6	F4IV66-3
AT2G04270.8	F4IV66-4
AT2G04270.9	F4IV66-4
AT2G20635.1	F4IVI0
AT2G26890.1	F4IVL6
AT2G33460.1	F4IVV0
AT2G45290.1	F4IW47
AT2G45290.2	F4IW47
AT3G62030.2	F4IX26
AT3G14980.1	F4IXE7
AT3G14980.2	F4IXE7
AT3G14980.6	F4IXE7
AT3G43300.3	F4IXW2-1
AT3G02890.1	F4IYH6
AT3G09090.1	F4IYM4-1
AT3G09090.2	F4IYM4-2
AT3G09090.3	F4IYM4-3
AT3G03110.1	F4IZR5
AT3G22190.1	F4J061
AT3G22190.2	F4J061
AT3G22190.3	F4J061
AT3G22190.4	F4J061
AT3G28690.2	F4J0D2
AT3G50500.2	F4J0N1
AT3G63150.1	F4J0W4
AT3G01510.1	F4J117
AT3G50920.1	F4J220-1
AT3G50920.2	F4J220-2
AT3G57190.1	F4J264
AT3G10160.1	F4J2K2
AT3G23070.1	F4J2U9
AT3G44480.1	F4J339
AT3G44480.4	F4J339
AT3G04340.1	F4J3N2
AT3G10420.1	F4J3R7-2
AT3G10420.2	F4J3R7-1
AT3G10550.1	F4J3T8-1
AT3G45040.1	F4J4C8
AT3G24870.1	F4J7T2-1
AT3G24880.1	F4J7T3
AT3G01310.2	F4J8C6-1
AT3G01780.1	F4J8D3
AT3G05680.1	F4J8G7
AT3G05680.2	F4J8G7
AT3G06010.1	F4J9M5
AT3G46960.1	F4JAA5
AT3G06300.1	F4JAU3
AT3G60650.1	F4JBX1
AT3G19600.1	F4JCB2
AT3G19670.1	F4JCC1
AT3G19670.2	F4JCC1
AT3G19670.3	F4JCC1
AT3G47710.1	F4JCN9
AT3G54230.1	F4JCU0-1
AT3G54230.2	F4JCU0-2
AT3G54230.5	F4JCU0-1
AT3G54500.1	F4JCX9-3
AT3G54500.4	F4JCX9-1
AT3G54500.5	F4JCX9-5
AT3G54500.6	F4JCX9-2
AT3G54500.7	F4JCX9-5
AT3G54500.8	F4JCX9-2
AT3G13782.1	F4JEI8
AT3G13782.2	F4JEI8
AT3G20475.1	F4JEP5
AT3G14360.1	F4JFU8
AT4G05190.1	F4JGP4
AT4G04040.1	F4JGR5
AT4G04920.1	F4JGZ1-1
AT4G04920.2	F4JGZ1-2
AT4G02260.1	F4JHA2-1
AT4G02260.2	F4JHA2-2
AT4G02350.1	F4JHH5
AT4G02350.2	F4JHH5
AT4G03090.1	F4JI44-1
AT4G03250.1	F4JI72
AT4G33430.2	F4JIX9
AT4G33650.2	F4JJ15
AT4G21585.1	F4JJL0
AT4G21585.4	F4JJL0
AT4G21600.1	F4JJL3
AT4G21900.1	F4JKB6
AT4G28080.1	F4JKH6
AT4G34100.1	F4JKK0-1
AT4G34100.2	F4JKK0-2
AT4G22140.1	F4JL28-1
AT4G22140.2	F4JL28-2
AT4G22140.3	F4JL28-1
AT4G28590.1	F4JLC1
AT4G34580.1	F4JLE5
AT4G34580.2	F4JLE5
AT4G16155.1	F4JLP5
AT4G22755.1	F4JLZ6
AT4G35580.1	F4JN35-1
AT4G35987.1	F4JNX3-1
AT4G36050.1	F4JNY0-2
AT4G36050.2	F4JNY0-1
AT4G11720.1	F4JP36
AT4G17380.1	F4JP48
AT4G17410.1	F4JP52-1
AT4G17410.2	F4JP52-2
AT4G17410.3	F4JP52-2
AT4G17410.5	F4JP52-1
AT4G12030.1	F4JPW1-2
AT4G12030.2	F4JPW1-1
AT4G12030.3	F4JPW1-2
AT4G12030.5	F4JPW1-2
AT4G36760.1	F4JQH3-1
AT4G24580.1	F4JQZ3
AT4G24580.2	F4JQZ3
AT4G37180.1	F4JRB0-2
AT4G37180.2	F4JRB0-1
AT4G12720.4	F4JRE7
AT4G24970.1	F4JRS4
AT4G37460.1	F4JS25-1
AT4G19040.1	F4JSE7-1
AT4G19040.3	F4JSE7-3
AT4G19180.1	F4JSH1
AT4G19180.2	F4JSH1
AT4G19180.3	F4JSH1
AT4G19490.1	F4JT76-1
AT4G19490.2	F4JT76-1
AT4G25840.1	F4JTE7
AT4G38360.1	F4JTN2-2
AT4G38360.2	F4JTN2-1
AT4G38470.1	F4JTP5
AT4G13750.1	F4JTS8
AT4G20310.4	F4JUU5-1
AT4G26420.1	F4JUY5-1
AT4G26420.2	F4JUY5-2
AT4G14510.1	F4JVH1
AT4G14605.1	F4JVI3
AT4G14605.2	F4JVI3
AT4G20850.1	F4JVN6
AT5G04290.1	F4JW79
AT5G04540.1	F4JWB3
AT5G59980.1	F4JXF1
AT5G18525.1	F4JY12
AT5G18620.1	F4JY24-1
AT5G18700.1	F4JY37
AT5G35210.2	F4JYC8-2
AT5G41480.1	F4JYE9
AT5G41580.1	F4JYG0
AT5G05460.1	F4JZC2
AT5G12130.1	F4JZG9
AT5G35580.1	F4JZW1
AT5G41790.1	F4JZY1
AT5G41790.2	F4JZY1
AT5G54280.2	F4K0A6-1
AT5G60600.1	F4K0E8-1
AT5G60600.2	F4K0E8-2
AT5G19310.1	F4K128
At5g42400	F4K1J4
AT5G05980.1	F4K2A1-1
AT5G05980.2	F4K2A1-2
AT5G13010.1	F4K2E9
AT5G26920.1	F4K2R6-1
AT5G26920.2	F4K2R6-2
AT5G55230.2	F4K3E4
AT5G55300.2	F4K3F4
AT5G55390.1	F4K3G5
AT5G55390.2	F4K3G5
AT5G55390.3	F4K3G5
AT5G13650.1	F4K410-1
AT5G27720.1	F4K4E3
AT5G20490.2	F4K5J1-1
AT5G28030.1	F4K5T2
AT5G28030.2	F4K5T2
AT5G28030.4	F4K5T2
AT5G28030.5	F4K5T2
AT5G37260.1	F4K5X6
AT5G56030.2	F4K6B6
AT5G56040.1	F4K6B8-2
AT5G56040.2	F4K6B8-1
AT5G43900.3	F4K7C5
AT5G43940.2	F4K7D6
AT5G56780.1	F4K933
At5g50780	F4KAF2
AT5G57190.1	F4KAK5
AT5G57360.2	F4KAN2
AT5G08390.1	F4KB17
AT5G23070.1	F4KBF5
AT5G02310.1	F4KCC2
AT5G02310.3	F4KCC2
AT5G02520.1	F4KCE9
AT5G08760.1	F4KCH3
AT5G57880.1	F4KDF5
AT5G58040.1	F4KDH9
AT5G64390.1	F4KDN0-1
AT5G16680.1	F4KE59
AT5G16680.2	F4KE59
AT5G58240.1	F4KEV7-1
AT5G58240.2	F4KEV7-2
AT5G64580.1	F4KF14
AT5G24290.1	F4KFS7-1
AT5G24290.2	F4KFS7-2
AT5G32470.1	F4KFT7-1
AT5G03540.3	F4KGM7
AT5G03570.1	F4KGN5
AT5G03570.2	F4KGN5
AT5G10480.3	F4KGW0
AT5G10510.3	F4KGW7
AT5G24670.1	F4KH86
AT5G24670.3	F4KH86
AT5G24670.4	F4KH86
AT5G46520.1	F4KHI3
AT5G46910.1	F4KIX0
AT3G19190.2	F8S296
AT3G19190.3	F8S296
AT4G00450.1	H3K2Y6
AT4G00450.2	H3K2Y6
AT4G00450.3	H3K2Y6
ATCG00490.1	O03042
AT5G53950.1	O04017
AT1G09100.1	O04019
AT1G09070.1	O04023
AT2G23800.1	O04046
AT1G17745.1	O04130-1
AT1G17745.2	O04130-2
AT4G18930.1	O04147
AT1G56340.1	O04151-1
AT1G08450.1	O04153-1
AT1G22740.1	O04157
AT2G39930.1	O04196
AT2G39940.1	O04197
AT2G39970.1	O04200
AT2G39990.1	O04202
AT2G40060.1	O04209
AT2G40080.1	O04211
AT2G34710.1	O04291
AT1G30490.1	O04292
AT4G02150.1	O04294
AT3G16480.1	O04308
AT3G16420.1	O04314-1
AT3G16420.2	O04314-1
AT3G16420.3	O04314-1
AT3G16410.1	O04316
AT3G16390.1	O04318
AT3G16390.2	O04318
AT5G40770.1	O04331
AT2G30410.1	O04350
AT2G30410.2	O04350
AT2G30410.3	O04350
AT1G51760.1	O04373
AT4G17730.1	O04378-1
AT1G48410.1	O04379-1
AT1G48410.2	O04379-2
AT1G48410.3	O04379-2
AT1G65500.1	O04468
AT1G65620.1	O04479
AT1G65620.2	O04479
AT1G65620.3	O04479
AT1G65620.4	O04479
AT1G65620.5	O04479
AT1G65650.1	O04482
AT1G09700.1	O04492-1
AT1G09780.1	O04499
AT1G70230.1	O04523
AT1G70170.1	O04529
AT4G01150.1	O04616-1
AT5G35620.1	O04663-1
AT5G35620.2	O04663-2
AT5G35620.3	O04663-1
AT1G48270.1	O04714
AT1G48270.2	O04714
AT5G57050.1	O04719-1
AT5G57050.2	O04719-2
AT3G52720.1	O04846-1
AT3G52720.2	O04846-2
AT3G52720.3	O04846-1
AT3G52720.4	O04846-1
AT5G26667.1	O04905-2
AT5G26667.2	O04905-1
AT5G26667.3	O04905-1
AT5G26667.4	O04905-1
AT2G30390.1	O04921-1
AT1G69960.1	O04951
AT5G35360.1	O04983-1
AT1G09000.1	O22040-1
AT3G06030.1	O22042
AT1G49530.1	O22043
AT5G64210.1	O22049
AT1G08540.1	O22056
AT2G46410.1	O22059
AT2G45430.1	O22130
AT2G45420.1	O22131
AT2G45400.1	O22133
AT2G45270.1	O22145
AT2G45220.1	O22149
AT2G45190.1	O22152
AT2G23290.1	O22179
AT2G40890.1	O22203
AT2G40950.1	O22208
AT2G41510.1	O22213
AT2G41560.1	O22218
AT2G41680.1	O22229
AT2G47520.1	O22259
AT2G47470.1	O22263-1
AT2G47460.1	O22264
AT2G47450.1	O22265
AT2G47430.1	O22267
AT2G47420.1	O22268
AT2G39760.1	O22286-1
AT2G39760.2	O22286-2
AT2G39770.1	O22287
AT2G39770.2	O22287
AT2G39770.3	O22287
AT1G02840.1	O22315-1
AT1G02840.2	O22315-3
AT1G02840.3	O22315-2
AT1G02840.4	O22315-2
AT1G02840.5	O22315-2
AT4G38130.1	O22446-1
AT1G24260.1	O22456-2
AT1G24260.2	O22456-1
AT5G58230.1	O22467
AT4G39400.1	O22476
AT1G19670.1	O22527
AT2G17700.1	O22558
AT2G19520.1	O22607
AT3G27925.1	O22609
AT3G27925.2	O22609
AT3G08900.1	O22666
AT3G03630.1	O22682
AT1G60650.1	O22703
AT1G60650.2	O22703
AT1G60780.1	O22715
AT2G17430.1	O22752
AT2G17450.1	O22755
AT4G02640.1	O22763-1
AT4G02640.2	O22763-3
AT4G02640.4	O22763-2
AT4G02590.1	O22768-1
AT4G02590.2	O22768-1
AT4G02590.3	O22768-2
AT4G02500.1	O22775
AT2G33290.1	O22781
AT2G33290.2	O22781
AT2G33290.3	O22781
AT2G33290.4	O22781
AT2G33330.1	O22784
AT2G33340.1	O22785-1
AT2G33340.2	O22785-1
AT2G33380.1	O22788-1
AT2G33380.2	O22788-2
At2g33430	O22793
AT2G33560.1	O22806-1
AT2G33560.2	O22806-2
AT2G43820.1	O22822
AT2G43710.1	O22832-1
AT2G43700.1	O22833
AT2G43350.1	O22850
AT2G43350.2	O22850
AT2G43400.1	O22854
AT2G40620.1	O22873
AT2G47180.1	O22893
AT2G47240.1	O22898
AT2G47240.2	O22898
AT2G47240.3	O22898
AT2G47270.1	O22901
AT2G47400.1	O22914
AT2G30250.1	O22921
AT2G30360.1	O22932
AT2G41770.1	O22943
AT4G24160.1	O22975-1
AT4G23940.1	O22993
AT1G05260.1	O23044
AT4G00360.1	O23066
AT4G00240.1	O23078
AT4G34710.1	O23141
AT4G34710.2	O23141
AT4G27500.1	O23144
AT3G57510.1	O23147
AT4G37260.1	O23160
AT4G37200.1	O23166
AT4G37150.1	O23171
AT4G37070.1	O23179-2
AT4G37070.2	O23179-1
AT4G37070.3	O23179-2
AT4G37060.1	O23180-1
AT4G37050.1	O23181
AT4G36400.1	O23240
AT4G36400.2	O23240
AT4G18040.1	O23252
AT4G13930.1	O23254
AT4G13940.1	O23255-1
AT4G14430.1	O23299
AT4G14480.1	O23304
AT4G14540.1	O23310
AT4G14940.1	O23349
AT4G15180.1	O23372
AT4G15400.1	O23393
AT4G15510.1	O23403-1
AT4G15510.2	O23403-2
AT4G15510.3	O23403-3
AT4G15510.4	O23403-3
AT4G15510.5	O23403-3
AT4G15530.1	O23404-3
AT4G15530.2	O23404-2
AT4G15530.3	O23404-4
AT4G15530.4	O23404-3
AT4G15530.5	O23404-1
AT4G15530.6	O23404-1
AT4G15530.7	O23404-4
At4g16150	O23463
At4g16150	O23463
At4g16150	O23463
AT4G16640.1	O23507
AT4G16690.1	O23512
AT4G16830.1	O23523-1
AT4G16830.2	O23523-2
AT4G16830.3	O23523-3
AT4G16890.1	O23530-2
AT4G17090.1	O23553
AT1G29880.1	O23627-1
AT3G54560.1	O23628
AT3G54560.2	O23628
AT3G45980.1	O23629
AT2G36390.1	O23647
AT5G14060.1	O23653
AT5G14060.2	O23653
AT1G78900.1	O23654
AT1G78900.2	O23654
AT2G33860.1	O23661
AT1G02050.1	O23674
AT1G02140.1	O23676
AT1G02280.1	O23680
AT1G02280.2	O23680
AT1G01510.1	O23702
AT3G27430.1	O23710-2
AT3G27430.2	O23710-1
AT1G47250.1	O23712
AT2G27020.1	O23715
AT2G38700.1	O23722
AT3G04730.1	O24407
AT1G51950.1	O24408
AT3G15540.1	O24409
AT2G46990.1	O24410
AT5G05780.1	O24412-1
AT1G18080.1	O24456-1
AT2G43430.1	O24495-1
AT3G10850.1	O24496
AT1G69220.1	O24527-1
AT1G69220.2	O24527-2
AT3G20770.1	O24606
AT4G15890.1	O24610
AT3G18524.1	O24617
AT3G53920.1	O24621
AT1G64860.1	O24629-1
AT1G64860.2	O24629-2
AT5G11260.1	O24646
AT2G42210.1	O48528-1
AT2G42210.2	O48528-2
AT2G42210.3	O48528-1
AT2G42210.4	O48528-1
AT2G42210.5	O48528-1
AT2G42260.1	O48533
AT2G42260.2	O48533
AT1G64060.1	O48538
AT5G44870.1	O48573
AT4G17300.1	O48593
AT2G32900.1	O48626
AT3G15620.1	O48652-1
AT3G15620.2	O48652-2
AT1G24100.1	O48676-1
AT2G26420.1	O48709
AT2G26440.1	O48711
AT2G26560.1	O48723
AT1G03680.1	O48737
AT1G03630.1	O48741-1
AT2G26670.1	O48782-1
AT2G26670.2	O48782-2
AT2G26770.1	O48791
AT2G26770.2	O48791
AT2G26770.3	O48791
AT1G62390.1	O48802
AT2G39660.1	O48814
AT2G32700.1	O48847-1
AT2G32700.2	O48847-1
AT2G32700.3	O48847-1
AT2G32700.4	O48847-1
AT2G32700.5	O48847-1
